,game_id,game_date,season,OT,H_A,Team_Abbrev,Team_Score,Team_pace,Team_efg_pct,Team_tov_pct,Team_orb_pct,Team_ft_rate,Team_off_rtg,Inactives,Opponent_pace,Opponent_efg_pct,Opponent_tov_pct,Opponent_orb_pct,Opponent_ft_rate,Opponent_off_rtg,Win,fg,fga,fg2a,fg2,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,fg2_pct,ft_pct,fg3_pct,fg_pct,ast_ratio
23,201910230SAS,2019-10-23,2019-2020,0,H,SAS,120,108.9,0.548,17.5,22.7,0.349,110.2,"Drew Eubanks, Keldon Johnson, Luka Samanic, Quinndary Weatherspoon",108.9,0.521,12.1,10.9,0.138,101.9,1,42,83,62,35,7,21,29,36,10,41,51,22,6,5,21,18,0.5645161290322581,0.8055555555555556,0.3333333333333333,0.5060240963855421,15.51043429216018
24,201910230UTA,2019-10-23,2019-2020,0,A,OKC,95,98.8,0.446,11.9,15.6,0.253,96.2,"Luguentz Dort, Devon Hall, Andre Roberson",98.8,0.478,10.0,21.2,0.156,101.2,0,32,83,56,22,10,27,21,31,7,41,48,15,5,4,13,23,0.39285714285714285,0.6774193548387096,0.37037037037037035,0.3855421686746988,12.034659820282414
25,201910230UTA,2019-10-23,2019-2020,0,H,UTA,100,98.8,0.478,10.0,21.2,0.156,101.2,"Jarrell Brantley, Dante Exum, Miye Oni, Justin Wright-Foreman",98.8,0.446,11.9,15.6,0.253,96.2,1,40,90,66,34,6,24,14,20,11,38,49,15,4,5,11,31,0.5151515151515151,0.7,0.25,0.4444444444444444,12.01923076923077
26,201910240DET,2019-10-24,2019-2020,0,A,ATL,117,96.8,0.576,12.0,21.1,0.209,120.9,"Charlie Brown, Allen Crabbe, Chandler Parsons, Tyrone Wallace",96.8,0.471,12.1,20.9,0.235,103.3,1,44,86,55,33,11,31,18,21,8,34,42,27,9,2,13,15,0.6,0.8571428571428571,0.3548387096774194,0.5116279069767442,19.96450754214729
27,201910240DET,2019-10-24,2019-2020,0,H,DET,100,96.8,0.471,12.1,20.9,0.235,103.3,"Jordan Bone, Sekou Doumbouya, Blake Griffin, Louis King",96.8,0.576,12.0,21.1,0.209,120.9,0,35,85,48,25,10,37,20,22,9,30,39,20,6,5,13,20,0.5208333333333334,0.9090909090909091,0.2702702702702703,0.4117647058823529,15.664160401002505
28,201910240GSW,2019-10-24,2019-2020,0,A,LAC,141,105.5,0.738,15.4,10.0,0.288,133.7,"Amir Coffey, Paul George, Rodney McGruder, Derrick Walton",105.5,0.47,10.4,29.4,0.293,115.7,1,50,80,48,32,18,32,23,30,3,36,39,33,7,5,17,24,0.6666666666666666,0.7666666666666667,0.5625,0.625,23.044692737430168
29,201910240GSW,2019-10-24,2019-2020,0,H,GSW,122,105.5,0.47,10.4,29.4,0.293,115.7,"Alec Burks, Willie Cauley-Stein, Alen Smailagic, Klay Thompson",105.5,0.738,15.4,10.0,0.288,133.7,0,39,99,57,24,15,42,29,30,15,27,42,27,7,0,13,21,0.42105263157894735,0.9666666666666667,0.35714285714285715,0.3939393939393939,17.73981603153745
30,201910240HOU,2019-10-24,2019-2020,0,A,MIL,117,109.8,0.545,9.3,11.3,0.091,106.5,"Thanasis Antetokounmpo, Dragan Bender, Frank Mason, Cameron Reynolds",109.8,0.456,11.6,17.5,0.322,101.1,1,46,99,53,30,16,46,9,18,6,47,53,31,7,10,11,27,0.5660377358490566,0.5,0.34782608695652173,0.46464646464646464,20.81654579640075
31,201910240HOU,2019-10-24,2019-2020,0,H,HOU,111,109.8,0.456,11.6,17.5,0.322,101.1,"Michael Frazier, Gerald Green, Isaiah Hartenstein, Nenê Hilario",109.8,0.545,9.3,11.3,0.091,106.5,0,33,90,42,17,16,48,29,39,10,47,57,25,6,6,14,25,0.40476190476190477,0.7435897435897436,0.3333333333333333,0.36666666666666664,17.104542966611934
32,201910250BOS,2019-10-25,2019-2020,0,A,TOR,106,101.2,0.59,21.2,12.5,0.179,104.7,"Oshae Brissett, Rondae Hollis-Jefferson, Patrick McCaw, Shamorie Ponds",101.2,0.445,7.2,33.9,0.138,110.7,0,37,78,42,19,18,36,14,17,5,41,46,22,2,6,23,28,0.4523809523809524,0.8235294117647058,0.5,0.47435897435897434,16.86082158185162
33,201910250BOS,2019-10-25,2019-2020,0,H,BOS,112,101.2,0.445,7.2,33.9,0.138,110.7,"Tacko Fall, Enes Kanter, Romeo Langford, Tremont Waters",101.2,0.59,21.2,12.5,0.179,104.7,1,42,109,71,29,13,38,15,16,21,35,56,21,10,8,9,20,0.4084507042253521,0.9375,0.34210526315789475,0.3853211009174312,14.379622021364009
34,201910250BRK,2019-10-25,2019-2020,0,A,NYK,109,107.3,0.574,21.8,20.5,0.198,101.6,"Kadeem Allen, Ignas Brazdeikis, Reggie Bullock, Ivan Rabb",107.3,0.577,21.9,26.8,0.295,105.3,0,38,81,56,21,17,25,16,28,9,30,39,17,14,4,26,31,0.375,0.5714285714285714,0.68,0.4691358024691358,12.470657276995306
35,201910250BRK,2019-10-25,2019-2020,0,H,BRK,113,107.3,0.577,21.9,26.8,0.295,105.3,"Nicolas Claxton, Kevin Durant, Henry Ellenson, Timothe Luwawu-Cabarrot",107.3,0.574,21.8,20.5,0.198,101.6,1,37,78,41,21,16,37,23,34,11,35,46,21,11,2,26,26,0.5121951219512195,0.6764705882352942,0.43243243243243246,0.47435897435897434,15.004286939125464
36,201910250CHO,2019-10-25,2019-2020,0,A,MIN,121,103.9,0.538,12.5,28.3,0.253,116.4,"Keita Bates-Diop, Jordan McLaughlin, Jaylen Nowell, Naz Reid",103.9,0.512,16.6,18.8,0.155,95.3,1,43,91,53,31,12,38,23,31,13,39,52,30,11,6,15,21,0.5849056603773585,0.7419354838709677,0.3157894736842105,0.4725274725274725,20.04811547714515
37,201910250CHO,2019-10-25,2019-2020,0,H,CHO,99,103.9,0.512,16.6,18.8,0.155,95.3,"Nicolas Batum, Robert Franks, Kobi Simmons, Cody Zeller",103.9,0.538,12.5,28.3,0.253,116.4,0,37,84,55,25,12,29,13,26,9,33,42,26,6,5,19,29,0.45454545454545453,0.5,0.41379310344827586,0.44047619047619047,18.51324409000285
38,201910250DEN,2019-10-25,2019-2020,1,A,PHO,107,97.4,0.442,14.5,21.3,0.36,99.5,"Ty Jerome, Cameron Johnson, Jalen Lecque",97.4,0.429,11.5,15.4,0.315,100.4,0,34,86,58,26,8,28,31,32,10,44,54,25,5,1,17,35,0.4482758620689655,0.96875,0.2857142857142857,0.3953488372093023,17.595720720720724
